2024-09-30 01:40:56 - 0.1, 1.577777777777778, 0.5222222222222223, 33.73684210526316, 33.1, 5.52177507691141, [21, 26, 31, 33, 39, 30, 30, 41, 33, 35, 27, 32, 44, 30, 32, 40, 29, 33, 40, 36]
2024-09-30 01:41:30 - 0.1, 1.577777777777778, 0.7333333333333333, 35.10526315789474, 34.75, 3.2844329799829985, [39, 41, 31, 28, 36, 37, 33, 31, 32, 35, 35, 31, 32, 34, 35, 36, 34, 38, 37, 40]
2024-09-30 01:42:04 - 0.1, 1.577777777777778, 0.9444444444444444, 32.63157894736842, 33.4, 5.8086142925830435, [32, 35, 38, 26, 38, 26, 43, 24, 28, 31, 28, 28, 37, 32, 34, 48, 34, 37, 35, 34]
2024-09-30 01:42:37 - 0.1, 1.577777777777778, 1.1555555555555557, 36.6, 36.6, 4.176122603564219, [32, 36, 43, 39, 41, 39, 38, 43, 39, 33, 33, 29, 38, 34, 31, 34, 43, 38, 38, 31]
2024-09-30 01:43:11 - 0.1, 1.577777777777778, 1.3666666666666667, 36.421052631578945, 35.9, 4.877499359302879, [33, 42, 29, 38, 44, 41, 34, 34, 35, 37, 33, 39, 33, 33, 43, 38, 43, 26, 32, 31]
2024-09-30 01:43:44 - 0.1, 1.577777777777778, 1.577777777777778, 35.421052631578945, 35.9, 4.448595283907045, [31, 41, 36, 33, 37, 38, 36, 45, 37, 30, 32, 43, 39, 30, 37, 42, 36, 33, 33, 29]
2024-09-30 01:44:18 - 0.1, 1.577777777777778, 1.788888888888889, 36.05, 36.05, 5.652211956393709, [39, 46, 31, 39, 28, 40, 26, 36, 37, 37, 39, 47, 39, 30, 26, 36, 34, 41, 33, 37]
2024-09-30 01:44:52 - 0.1, 1.577777777777778, 2.0, 37.68421052631579, 36.9, 5.673623181001714, [36, 34, 37, 42, 43, 41, 29, 33, 42, 35, 28, 36, 39, 43, 22, 39, 33, 41, 41, 44]
2024-09-30 01:45:23 - 0.1, 1.788888888888889, 0.1, 33.3, 33.3, 3.9127995093027694, [28, 31, 33, 41, 35, 29, 26, 35, 38, 28, 36, 33, 39, 31, 32, 30, 38, 35, 33, 35]
2024-09-30 01:45:57 - 0.1, 1.788888888888889, 0.3111111111111111, 31.105263157894736, 31.55, 3.9430318284284747, [31, 37, 35, 30, 28, 27, 31, 32, 36, 32, 24, 33, 35, 29, 28, 35, 33, 29, 26, 40]
2024-09-30 01:46:30 - 0.1, 1.788888888888889, 0.5222222222222223, 31.88888888888889, 31.9, 3.8327535793473597, [29, 35, 35, 35, 24, 30, 35, 27, 34, 31, 34, 35, 33, 33, 29, 26, 29, 40, 35, 29]
